264	RtlAssert	stdcall
265	RtlCaptureContext	stdcall
266	RtlCaptureStackBackTrace	stdcall
267	RtlCharToInteger	stdcall
268	RtlCompareMemory	stdcall
269	RtlCompareMemoryUlong	stdcall
270	RtlCompareString	stdcall
271	RtlCompareUnicodeString	stdcall
272	RtlCopyString	stdcall
273	RtlCopyUnicodeString	stdcall
274	RtlCreateUnicodeString	stdcall
275	RtlDowncaseUnicodeChar	stdcall
276	RtlDowncaseUnicodeString	stdcall
277	RtlEnterCriticalSection	stdcall
278	RtlEnterCriticalSectionAndRegion	stdcall
279	RtlEqualString	stdcall
280	RtlEqualUnicodeString	stdcall
281	RtlExtendedIntegerMultiply	stdcall
282	RtlExtendedLargeIntegerDivide	stdcall
283	RtlExtendedMagicDivide	stdcall
284	RtlFillMemory	stdcall
285	RtlFillMemoryUlong	stdcall
286	RtlFreeAnsiString	stdcall
287	RtlFreeUnicodeString	stdcall
288	RtlGetCallersAddress	stdcall
289	RtlInitAnsiString	stdcall
290	RtlInitUnicodeString	stdcall
291	RtlInitializeCriticalSection	stdcall
292	RtlIntegerToChar	stdcall
293	RtlIntegerToUnicodeString	stdcall
294	RtlLeaveCriticalSection	stdcall
295	RtlLeaveCriticalSectionAndRegion	stdcall
296	RtlLowerChar	stdcall
297	RtlMapGenericMask	stdcall
298	RtlMoveMemory	stdcall
299	RtlMultiByteToUnicodeN	stdcall
300	RtlMultiByteToUnicodeSize	stdcall
301	RtlNtStatusToDosError	stdcall
302	RtlRaiseException	stdcall
303	RtlRaiseStatus	stdcall
304	RtlTimeFieldsToTime	stdcall
305	RtlTimeToTimeFields	stdcall
306	RtlTryEnterCriticalSection	stdcall
307	RtlUlongByteSwap	fastcall
308	RtlUnicodeStringToAnsiString	stdcall
309	RtlUnicodeStringToInteger	stdcall
310	RtlUnicodeToMultiByteN	stdcall
311	RtlUnicodeToMultiByteSize	stdcall
312	RtlUnwind	stdcall
313	RtlUpcaseUnicodeChar	stdcall
314	RtlUpcaseUnicodeString	stdcall
315	RtlUpcaseUnicodeToMultiByteN	stdcall
316	RtlUpperChar	stdcall
317	RtlUpperString	stdcall
318	RtlUshortByteSwap	fastcall
319	RtlWalkFrameChain	stdcall
320	RtlZeroMemory	stdcall
321	XboxEEPROMKey	?
322	XboxHardwareInfo	?
323	XboxHDKey	?
324	XboxKrnlVersion	?
325	XboxSignatureKey	?
326	XeImageFileName	?
327	XeLoadSection	stdcall
328	XeUnloadSection	stdcall
329	READ_PORT_BUFFER_UCHAR	stdcall
330	READ_PORT_BUFFER_USHORT	stdcall
331	READ_PORT_BUFFER_ULONG	stdcall
332	WRITE_PORT_BUFFER_UCHAR	stdcall
333	WRITE_PORT_BUFFER_USHORT	stdcall
334	WRITE_PORT_BUFFER_ULONG	stdcall
335	XcSHAInit	stdcall
336	XcSHAUpdate	stdcall
337	XcSHAFinal	stdcall
338	XcRC4Key	stdcall
339	XcRC4Crypt	stdcall
340	XcHMAC	stdcall
341	XcPKEncPublic	stdcall
342	XcPKDecPrivate	stdcall
343	XcPKGetKeyLen	stdcall
344	XcVerifyPKCS1Signature	stdcall
345	XcModExp	stdcall
346	XcDESKeyParity	stdcall
347	XcKeyTable	stdcall
348	XcBlockCrypt	stdcall
349	XcBlockCryptCBC	stdcall
350	XcCryptService	stdcall
351	XcUpdateCrypto	stdcall
352	RtlRip	stdcall
353	XboxLANKey	?
354	XboxAlternateSignatureKeys	?
355	XePublicKeyData	?
356	HalBootSMCVideoMode	?
357	IdexChannelObject	?
358	HalIsResetOrShutdownPending	stdcall
359	IoMarkIrpMustComplete	stdcall
360	HalInitiateShutdown	stdcall
361	RtlSnprintf	stdcall
362	RtlSprintf	stdcall
363	RtlVsnprintf	stdcall
364	RtlVsprintf	stdcall
